lat,lng,Title,City,State,Group,Ideology,Headquarters,Statewide,Year
34.0489281,-111.0937311,The Creativity Movement,"",ARIZONA,"",Neo-Nazi,"",Yes,2014
34.0489281,-111.0937311,National Socialist Freedom Movement,"",ARIZONA,"",Neo-Nazi,"",Yes,2014
34.0489281,-111.0937311,White Boy Society,"",ARIZONA,"",White Nationalist,"",Yes,2014
34.0489281,-111.0937311,Aryan Strikeforce,"",ARIZONA,"",Racist Skinhead,"",Yes,2015
34.0489281,-111.0937311,The Creativity Movement,"",ARIZONA,"",Neo-Nazi,"",Yes,2015
34.0489281,-111.0937311,Militant Knights KKK,"",ARIZONA,"",Ku Klux Klan,"",Yes,2015
34.0489281,-111.0937311,Right Wing Resistance,"",ARIZONA,"",White Nationalist,"",Yes,2015
34.0489281,-111.0937311,American Vanguard,"",ARIZONA,"",White Nationalist,"",Yes,2016
34.0489281,-111.0937311,Vinlanders Social Club,"",ARIZONA,Vinlanders Social Club,Racist Skinhead,"",Yes,2016
34.0489281,-111.0937311,The Daily Stormer,"",ARIZONA,"",Neo-Nazi,"",Yes,2017
34.0489281,-111.0937311,Identity Evropa,"",ARIZONA,Identity Evropa/American Identity Movement,White Nationalist,"",Yes,2017
34.0489281,-111.0937311,The Right Stuff,"",ARIZONA,"",White Nationalist,"",Yes,2017
34.0489281,-111.0937311,Vinlanders Social Club,"",ARIZONA,Vinlanders Social Club,Racist Skinhead,"",Yes,2017
34.0489281,-111.0937311,American Guard,"",ARIZONA,"",General Hate,"",Yes,2018
34.0489281,-111.0937311,Proud Boys,"",ARIZONA,Proud Boys,General Hate,"",Yes,2018
34.0489281,-111.0937311,Atomwaffen Division,"",ARIZONA,"",Neo-Nazi,"",Yes,2018
34.0489281,-111.0937311,Identity Evropa,"",ARIZONA,Identity Evropa/American Identity Movement,White Nationalist,"",Yes,2018
34.0489281,-111.0937311,The Right Stuff,"",ARIZONA,"",White Nationalist,"",Yes,2018
34.0489281,-111.0937311,AZ Patriots,"",ARIZONA,"",Anti-Immigrant,Yes,Yes,2019
34.0489281,-111.0937311,Proud Boys,"",ARIZONA,Proud Boys,General Hate,"",Yes,2019
34.0489281,-111.0937311,"Wotan's Nation","",ARIZONA,"",Neo-Volkisch,"",Yes,2019
34.0489281,-111.0937311,Firm 22,"",ARIZONA,"",Racist Skinhead,"",Yes,2019
34.0489281,-111.0937311,American Identity Movement,"",ARIZONA,"",White Nationalist,"",Yes,2019
34.0489281,-111.0937311,Patriot Front,"",ARIZONA,"",White Nationalist,"",Yes,2019
35.20105,-91.8318334,Imperial Klans of America Knights of the KKK,"",ARKANSAS,"",Ku Klux Klan,"",Yes,2004
35.20105,-91.8318334,National Socialist Movement,"",ARKANSAS,National Socialist Movement,Neo-Nazi,"",Yes,2004
35.20105,-91.8318334,Empire Knights of the KKK,"",ARKANSAS,"",Ku Klux Klan,"",Yes,2005
35.20105,-91.8318334,Imperial Klans of America Knights of the KKK,"",ARKANSAS,"",Ku Klux Klan,"",Yes,2005
35.20105,-91.8318334,National Socialist Movement,"",ARKANSAS,National Socialist Movement,Neo-Nazi,"",Yes,2005
35.20105,-91.8318334,Imperial Klans of America Knights of the KKK,"",ARKANSAS,"",Ku Klux Klan,"",Yes,2006
35.20105,-91.8318334,Aryan Nations Revival,"",ARKANSAS,"",Christian Identity,"",Yes,2008
35.20105,-91.8318334,Sword of Truth Ministries,"",ARKANSAS,"",Christian Identity,"",Yes,2008
35.20105,-91.8318334,Volksfront,"",ARKANSAS,"",Racist Skinhead,"",Yes,2008
35.20105,-91.8318334,Aryan Nations Revival,"",ARKANSAS,"",Christian Identity,"",Yes,2009
35.20105,-91.8318334,Aryan Terror Brigade,"",ARKANSAS,"",Racist Skinhead,"",Yes,2009
35.20105,-91.8318334,National Socialist Movement,"",ARKANSAS,"",Neo-Nazi,"",Yes,2009
35.20105,-91.8318334,Aryan Nations,"",ARKANSAS,"",Neo-Nazi,"",Yes,2010
35.20105,-91.8318334,Aryan Nations 88,"",ARKANSAS,"",Neo-Nazi,"",Yes,2010
35.20105,-91.8318334,Aryan Terror Brigade,"",ARKANSAS,"",Racist Skinhead,"",Yes,2010
35.20105,-91.8318334,Blood and Honour America Division,"",ARKANSAS,Blood & Honour,Racist Skinhead,"",Yes,2010
35.20105,-91.8318334,Brotherhood of Klans Knights of the KKK,"",ARKANSAS,"",Ku Klux Klan,"",Yes,2010
35.20105,-91.8318334,Knight Riders Knights of the KKK,"",ARKANSAS,"",Ku Klux Klan,"",Yes,2010
35.20105,-91.8318334,Traditionalist American Knights of the KKK,"",ARKANSAS,"",Ku Klux Klan,"",Yes,2010
35.20105,-91.8318334,Aryan Nations 88,"",ARKANSAS,"",Neo-Nazi,"",Yes,2011
